                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3188,                 1.7365,                 1.2657,                0.62046,                0.13119,                 0.0924,                0.04723,                 2.9204,                 1.9596,                 1.3362,               0.008878,               0.008878,               0.008878
                     36,                 2.2937,                 1.7215,                 1.2663,                0.61193,                0.13333,                0.08853,                0.04446,                 2.9335,                 1.9456,                 1.3432,               0.008845,               0.008845,               0.008845
                     37,                 2.3188,                 1.7229,                 1.2651,                0.62681,                0.12967,                0.09837,                0.05021,                 2.9163,                 1.9413,                 1.3415,               0.008812,               0.008812,               0.008812
                     38,                 2.2811,                 1.6902,                 1.2585,                0.63076,                0.12865,                0.10542,                 0.0538,                  2.918,                 1.9479,                 1.3394,               0.008779,               0.008779,               0.008779
                     39,                 2.2804,                 1.6535,                 1.2263,                0.63393,                0.13271,                0.09636,                 0.0498,                 2.9227,                 1.9471,                 1.3407,               0.008746,               0.008746,               0.008746
                     40,                 2.2976,                 1.6695,                 1.2569,                0.62931,                0.13119,                0.10104,                0.05178,                 2.9213,                 1.9342,                 1.3413,               0.008713,               0.008713,               0.008713
                     41,                 2.3367,                 1.6682,                 1.2151,                0.62611,                0.13057,                 0.0959,                0.04923,                 2.9073,                 1.9264,                 1.3468,                0.00868,                0.00868,                0.00868
                     42,                 2.2859,                  1.651,                 1.2325,                0.62926,                0.13485,                0.10198,                0.05315,                 2.9053,                 1.9233,                 1.3363,               0.008647,               0.008647,               0.008647
                     43,                 2.2612,                 1.6088,                 1.2169,                0.61954,                0.13745,                0.09924,                0.05216,                 2.9064,                 1.9274,                 1.3435,               0.008614,               0.008614,               0.008614
                     44,                 2.2393,                  1.633,                 1.2409,                0.63145,                0.13254,                0.10327,                0.05377,                 2.9141,                 1.9209,                 1.3417,               0.008581,               0.008581,               0.008581
                     45,                 2.2348,                 1.6249,                 1.2203,                0.62651,                0.12882,                0.09946,                 0.0515,                 2.9051,                 1.9351,                 1.3434,               0.008548,               0.008548,               0.008548
                     46,                 2.2354,                 1.5981,                 1.2359,                0.63047,                0.12865,                0.10286,                0.05391,                 2.9211,                 1.9219,                 1.3441,               0.008515,               0.008515,               0.008515
                     47,                 2.2517,                 1.6122,                 1.2191,                0.63975,                0.12617,                0.10663,                0.05645,                 2.9188,                 1.9153,                 1.3492,               0.008482,               0.008482,               0.008482
                     48,                 2.2697,                 1.5927,                 1.2199,                0.63305,                0.12425,                0.10139,                0.05264,                 2.9098,                 1.9223,                 1.3433,               0.008449,               0.008449,               0.008449
                     49,                 2.2419,                 1.6005,                 1.2144,                0.62573,                0.13361,                0.10054,                0.05245,                 2.9186,                 1.9123,                 1.3385,               0.008416,               0.008416,               0.008416
                     50,                 2.2818,                 1.5915,                  1.237,                0.12719,                0.13688,                0.10576,                0.05549,                 2.9134,                 1.8998,                 1.3413,               0.008383,               0.008383,               0.008383
                     51,                 2.2532,                 1.5678,                 1.2101,                0.63167,                0.13508,                0.10449,                0.05466,                  2.908,                 1.9165,                 1.3327,                0.00835,                0.00835,                0.00835
                     52,                  2.231,                 1.5602,                 1.2156,                0.63701,                 0.1295,                 0.1064,                0.05618,                 2.9136,                 1.9207,                 1.3397,               0.008317,               0.008317,               0.008317
                     53,                  2.222,                 1.5566,                 1.2151,                0.63697,                0.12899,                0.10793,                0.05752,                 2.9037,                  1.878,                 1.3323,               0.008284,               0.008284,               0.008284
                     54,                 2.2518,                 1.5793,                 1.2099,                  0.136,                0.12961,                0.10852,                 0.0572,                 2.9122,                 1.8855,                 1.3386,               0.008251,               0.008251,               0.008251
                     55,                 2.2175,                 1.5857,                 1.2121,                0.63843,                0.12826,                0.11081,                0.05838,                  2.911,                 1.8983,                 1.3351,               0.008218,               0.008218,               0.008218
                     56,                 2.2687,                 1.5567,                 1.1961,                0.64411,                0.12752,                 0.1134,                0.05997,                 2.9112,                 1.8984,                 1.3398,               0.008185,               0.008185,               0.008185
                     57,                 2.2492,                 1.5425,                    1.2,                 0.1383,                0.12876,                0.11143,                0.05935,                 2.9139,                 1.9144,                 1.3443,               0.008152,               0.008152,               0.008152
                     58,                 2.2483,                 1.5155,                 1.1845,                0.64691,                0.12127,                0.11045,                0.05843,                 2.9177,                 1.9169,                 1.3458,               0.008119,               0.008119,               0.008119
                     59,                 2.2201,                 1.5117,                 1.1948,                0.65074,                0.12144,                0.11294,                0.05968,                 2.9221,                 1.9095,                 1.3494,               0.008086,               0.008086,               0.008086
                     60,                  2.195,                 1.5079,                 1.1891,                0.64755,                0.12487,                0.11203,                0.05915,                 2.9245,                 1.9095,                 1.3517,               0.008053,               0.008053,               0.008053
                     61,                 2.2326,                 1.5376,                 1.1933,                0.64749,                0.12313,                0.10914,                0.05804,                 2.9222,                 1.9205,                 1.3503,                0.00802,                0.00802,                0.00802
                     62,                  2.232,                 1.5113,                 1.1884,                0.63819,                0.12521,                0.10851,                0.05707,                 2.9238,                 1.9217,                 1.3527,               0.007987,               0.007987,               0.007987
                     63,                 2.1969,                 1.5184,                 1.1991,                0.63479,                0.12617,                0.10804,                0.05676,                 2.9201,                 1.9229,                 1.3515,               0.007954,               0.007954,               0.007954
                     64,                 2.2525,                 1.5082,                 1.1813,                0.64051,                0.12718,                0.11019,                0.05807,                 2.9243,                 1.9162,                 1.3542,               0.007921,               0.007921,               0.007921
                     65,                 2.2072,                 1.5149,                 1.2034,                0.64072,                 0.1273,                  0.109,                0.05785,                 2.9239,                 1.9077,                 1.3514,               0.007888,               0.007888,               0.007888
                     66,                  2.202,                 1.4745,                 1.1898,                0.63941,                0.12583,                0.10887,                0.05762,                 2.9262,                 1.9083,                 1.3554,               0.007855,               0.007855,               0.007855
