                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2563,                 2.9643,                 1.7818,                0.65633,                0.12888,                 0.1118,                0.06274,                 2.1771,                  2.708,                 1.7235,              0.0033284,              0.0033284,              0.0033284
                      2,                 1.8975,                 2.3256,                 1.5237,                0.64526,                0.14978,                0.10815,                0.05292,                 2.1207,                 2.7599,                 1.6768,              0.0066397,              0.0066397,              0.0066397
                      3,                 1.8674,                  2.178,                 1.5153,                0.66277,                0.14816,                0.12422,                0.06577,                 2.1212,                 2.8215,                 1.6662,              0.0099291,              0.0099291,              0.0099291
                      4,                 1.8719,                 2.1583,                 1.5174,                0.63677,                0.15227,                0.10127,                0.05188,                 2.1201,                 2.5562,                 1.6504,               0.009901,               0.009901,               0.009901
                      5,                 1.8418,                 2.0762,                 1.4906,                0.71865,                0.18362,                0.17704,                 0.0901,                 1.9503,                   2.15,                 1.5829,               0.009868,               0.009868,               0.009868
                      6,                 1.7481,                 1.9929,                 1.4496,                0.72056,                0.19001,                0.18017,                0.09695,                 1.8845,                 2.1279,                 1.5558,               0.009835,               0.009835,               0.009835
                      7,                  1.761,                 1.9644,                 1.4426,                   0.72,                0.19556,                0.18638,                0.10213,                 1.8588,                 2.0951,                 1.5567,               0.009802,               0.009802,               0.009802
                      8,                 1.7179,                 1.8957,                 1.4209,                0.73831,                0.19929,                0.19544,                0.10502,                 1.8667,                 2.1524,                 1.5225,               0.009769,               0.009769,               0.009769
                      9,                 1.7052,                 1.8789,                 1.4268,                0.72267,                0.18372,                0.16828,                0.08315,                 1.8975,                 2.2168,                 1.5576,               0.009736,               0.009736,               0.009736
                     10,                 1.6573,                 1.8463,                 1.3914,                0.73491,                0.19494,                0.19494,                0.10576,                 1.8549,                 2.0782,                  1.524,               0.009703,               0.009703,               0.009703
                     11,                 1.6451,                 1.8082,                 1.3849,                0.73566,                0.20506,                 0.1958,                0.10675,                 1.8786,                 2.0688,                 1.5265,                0.00967,                0.00967,                0.00967
                     12,                 1.6355,                 1.7638,                 1.3726,                0.72452,                0.19771,                0.18671,                 0.0939,                 1.8295,                 2.1624,                 1.5048,               0.009637,               0.009637,               0.009637
